Site code,HYMO  type,"Highly rheophilic, intolerant species","Rheophilic benthic species, preferring sandy-gravel bottom substrate","Rheophilic water column species, preferring sandy-gravel bottom substrate",Limnophilic benthic species of moderate tolerance,Limnophilic water column species of moderate tolerance,"Intolerant, rheophilic benthic species, preferring detritus or pelal bottom substrate","Intolerant, water column species",Limnophilic lithophilic species of moderate tolerance,Limnophilic phytophilic species of moderate tolerance,Benthic species  of moderate tolerance,Generalists - tolerant species
PL_M9MRONO,1,0,1,0,0,0,0,0,0,0,0,0
PL_R01CIE,3,0,0.038461538,0.130769231,0,0,0,0,0,0.246153846,0.007692308,0.576923077
PL_R01PLIKOS,3,0.782051282,0,0,0,0,0,0,0,0.038461538,0,0.179487179
PL_R02CZAHA,6,0.525641026,0,0.474358974,0,0,0,0,0,0,0,0
PL_R03CSTDRO,13,0.361111111,0,0,0.055555556,0,0.027777778,0,0,0,0.055555556,0.5
PL_R03RURZ,3,0.002840909,0.102272727,0.795454545,0,0,0,0,0,0.017045455,0,0.082386364
PL_R03WIARY,1,0.234848485,0.401515152,0.306818182,0,0,0,0,0,0.03030303,0,0.026515152
PL_R05RAWWOL,1,0.104166667,0.138888889,0.041666667,0,0,0.034722222,0,0,0.236111111,0,0.444444444
PL_R06TUSDA,3,0.089005236,0.471204188,0.287958115,0,0,0,0,0,0.015706806,0.015706806,0.120418848
PL_R07WISSW,1,0.05511811,0.590551181,0.354330709,0,0,0,0,0,0,0,0
PL_R08LYNAST,3,0,0.013392857,0.071428571,0.008928571,0,0,0,0.013392857,0.102678571,0.004464286,0.785714286
PL_R11KOCTRZE,1,0.105882353,0.552941176,0.176470588,0.011764706,0,0,0,0,0.011764706,0.023529412,0.117647059
PL_R14KRASTA,3,0.450980392,0.176470588,0.235294118,0.078431373,0,0,0,0,0,0.058823529,0
PL_R16MILGL,3,0.27480916,0.417302799,0.106870229,0,0,0,0,0,0,0,0.201017812
PL_R16NARPLO,13,0,0.066339066,0.002457002,0,0,0.014742015,0,0,0.125307125,0.022113022,0.769041769
PL_R19PLIURA,3,0.021582734,0.244604317,0.136690647,0.014388489,0,0.014388489,0,0,0.071942446,0.050359712,0.446043165
PL_R1OSLAWA20,2,0.214285714,0.412087912,0.373626374,0,0,0,0,0,0,0,0
PL_R1WDA004,3,0,0.507246377,0,0,0,0,0.137681159,0,0.014492754,0,0.34057971
PL_R21PRULA,3,0.955882353,0,0,0,0,0,0,0,0,0,0.044117647
PL_R22TANREB,1,0.985294118,0,0,0,0,0,0,0,0,0,0.014705882
PL_R24STUPR,3,1,0,0,0,0,0,0,0,0,0,0
PL_R2SAN20,2,0.115902965,0.469002695,0.396226415,0,0,0,0,0,0,0,0.018867925
PL_R2SLU058,13,1,0,0,0,0,0,0,0,0,0,0
PL_R3SOLINKA20,2,0.059047619,0.413333333,0.478095238,0,0,0,0,0,0,0.001904762,0.047619048
PL_R5WIP025,3,1,0,0,0,0,0,0,0,0,0,0
PpJa1006,2,1,0,0,0,0,0,0,0,0,0,0
PT_ISA01/07,10,0,0,0.961722488,0,0,0,0,0,0,0,0.038277512
PT_ISA02/07,10,0,0,0.908396947,0,0,0,0,0,0,0,0.091603053
PT_ISA03/08,10,0,0.516129032,0,0,0,0,0,0,0,0,0.483870968
PT_ISA05/07,10,0,0,0.988538682,0,0,0,0,0,0,0,0.011461318
PT_ISA06/08,10,0,0.698113208,0,0,0,0,0,0,0,0,0.301886792
RadL1006,2,1,0,0,0,0,0,0,0,0,0,0
RaKd0695,2,1,0,0,0,0,0,0,0,0,0,0
RaPt0695,2,1,0,0,0,0,0,0,0,0,0,0
RaTo0885,2,1,0,0,0,0,0,0,0,0,0,0
RaZr0695,2,1,0,0,0,0,0,0,0,0,0,0
SaGl0382,2,0.880597015,0,0.119402985,0,0,0,0,0,0,0,0
SaPn0382,2,0.951807229,0,0.048192771,0,0,0,0,0,0,0,0
SBLo1107,2,0.19872814,0,0.80127186,0,0,0,0,0,0,0,0
SBMa0992,2,0.81981982,0,0.18018018,0,0,0,0,0,0,0,0
SBNo1107,2,0.274390244,0,0.725609756,0,0,0,0,0,0,0,0
SBPo0281,2,0.875,0,0.125,0,0,0,0,0,0,0,0
SBRi1107,2,0.6592,0.0176,0.3232,0,0,0,0,0,0,0,0
SBSo1107,2,0.232142857,0,0.767857143,0,0,0,0,0,0,0,0
SC_103660,16,0.962025316,0,0,0,0,0,0,0,0,0,0.037974684
SC_1582,15,0.612068966,0.021551724,0.159482759,0,0,0,0,0,0,0,0.206896552
SC_206779,16,0.96,0,0,0,0,0,0,0,0,0,0.04
SC_233986,16,0.90625,0,0.09375,0,0,0,0,0,0,0,0
SC_3490,15,1,0,0,0,0,0,0,0,0,0,0
SC_350258,16,0.888888889,0,0,0,0,0,0,0,0,0,0.111111111
SC_350297,16,1,0,0,0,0,0,0,0,0,0,0
SC_359053,16,1,0,0,0,0,0,0,0,0,0,0
SC_359064,15,0.693548387,0.14516129,0.14516129,0,0,0,0,0,0,0,0.016129032
SC_359065,15,0.888888889,0.090909091,0.01010101,0,0,0,0,0,0,0,0.01010101
SC_359071,15,0.770833333,0.1875,0.020833333,0,0,0,0,0,0,0,0.020833333
SC_359072,15,0.941935484,0.019354839,0.019354839,0,0,0,0,0,0,0,0.019354839
SC_359101,16,0.7890625,0,0,0,0,0,0,0,0,0,0.2109375
SC_359102,15,0.873831776,0,0,0,0,0,0,0,0,0,0.126168224
SC_359119,16,0.357142857,0,0,0,0,0,0,0,0,0,0.642857143
SC_359122,16,0.921052632,0,0,0,0,0,0,0,0,0,0.078947368
SC_359124,16,0.896551724,0,0,0,0,0,0,0,0,0,0.103448276
SC_359125,16,0.928571429,0,0,0,0,0,0,0,0,0,0.071428571
SC_359126,15,0.97810219,0,0,0,0,0,0,0,0,0,0.02189781
SC_359128,15,0.946428571,0,0,0,0,0,0,0,0,0,0.053571429
SC_359129,16,0.75,0,0.025,0,0,0,0,0,0,0,0.225
SC_359141,16,0.918918919,0,0,0,0,0,0,0,0,0,0.081081081
SC_359142,16,1,0,0,0,0,0,0,0,0,0,0
SC_359144,16,0.989090909,0,0,0,0,0,0,0,0,0,0.010909091
SC_359146,15,0.892857143,0,0,0,0,0.107142857,0,0,0,0,0
SC_359147,16,0.993478261,0,0,0,0,0,0,0,0,0,0.006521739
SC_359149,16,1,0,0,0,0,0,0,0,0,0,0
SC_359150,16,0.608695652,0,0,0,0,0,0,0,0,0,0.391304348
SC_359152,16,1,0,0,0,0,0,0,0,0,0,0
SC_359155,16,0.674698795,0,0,0,0,0,0,0,0,0,0.325301205
SC_359159,16,0.953125,0,0,0,0,0,0,0,0,0,0.046875
SC_359160,16,1,0,0,0,0,0,0,0,0,0,0
SC_359163,15,0.995145631,0,0,0,0,0,0,0,0,0,0.004854369
SC_367966,15,0.975609756,0,0,0,0,0,0,0,0.024390244,0,0
SC_367967,16,0.891129032,0,0,0,0,0,0,0,0,0,0.108870968
SC_367971,16,0.964169381,0,0,0,0,0.026058632,0,0,0,0,0.009771987
SC_367972,16,0.890625,0,0,0,0,0,0,0,0,0,0.109375
SC_367974,16,0.832061069,0,0,0,0,0,0,0,0,0,0.167938931
SC_374560,16,0.960451977,0,0,0,0,0.039548023,0,0,0,0,0
SC_374610,16,1,0,0,0,0,0,0,0,0,0,0
SC_374611,16,1,0,0,0,0,0,0,0,0,0,0
SC_8473,16,0.862068966,0,0.137931034,0,0,0,0,0,0,0,0
SDLo0606,2,0.605263158,0,0.394736842,0,0,0,0,0,0,0,0
SE0014,3,0.972477064,0,0.018348624,0,0,0,0,0,0,0,0.009174312
SE0015,3,1,0,0,0,0,0,0,0,0,0,0
SE0016,3,0.994623656,0,0.005376344,0,0,0,0,0,0,0,0
SE0017,3,1,0,0,0,0,0,0,0,0,0,0
SE0027,6,0.98245614,0,0,0,0,0,0,0,0,0,0.01754386
SE0028,6,1,0,0,0,0,0,0,0,0,0,0
SE0030,6,1,0,0,0,0,0,0,0,0,0,0
SE0031,6,1,0,0,0,0,0,0,0,0,0,0
SE0032,6,0.893939394,0,0.106060606,0,0,0,0,0,0,0,0
SE0136,6,0.479381443,0,0.515463918,0,0,0,0,0,0.005154639,0,0
